st_051030_0001#0,"""A.P.241/9/23/10:30"""
st_051030_0010#0,"""Saat [Persona] menjadi tubuh baru dari [Profound Darkness], Dia terus menahan kendali darinya sendirian."""
st_051030_0020#0,"""[Profound Darkness] yang bangkit dan ARKS bertempur, dan saat kekuatannya melemah, [Persona] memutarbalikkan waktu."""
st_051030_0030#0,"""Mengembalikan waktu ke saat bangkitnya [Profound Darkness] dan juga menyatunya mereka. Dan dia selalu mengulangnya lagi dan lagi."""
st_051030_0040#0,"""...kita tidak bisa membiarkan ini begitu saja. Kita akan menyelamatkan mereka apapun yang terjadi. Benar begitu, <%me>?"""
st_051030_0050#0,"""[Persona] adalah inti dari [Profound Darkness]. Dia bahkan masih ada sampai saat ini. Kalian berdua lebih tahu tentang ini daripada siapapun."""
st_051030_0060#0,"""Sampai kita memisahkan tubuhnya dari [Profound Darkness], kita tidak mungkin bisa menyelamatkannya."""
st_051030_0070#0,"""Bahkan jika kalian berhasil menyelamatkannya, [Profound Darkness] akan mencari tubuh baru dan mungkin akan menjadi lebih parah lagi."""
st_051030_0080#0,"""Untuk menyelamatkan [Persona], kita harus menghancurkan [Profound Darkness]. Tapi tidak ada satupun cara untuk melakukannya."""
st_051030_0090#0,"""...begitulah masalahnya, sampai saat ini."""
st_051030_0100#0,"""Namun demikian, kita telah menemukan cara untuk melakukannya! Aku berbicara tentang Ame-no-Murakumo milik Hitsugi!"""
st_051030_0110#0,"""Pedang yang mampu mengusir dan memurnikan kekuatan jahat! Pedang itu menyelamatkan Aru dan [Mother] yang berubah sementara menjadi Dark Falz!"""
st_051030_0120#0,"""Teorinya sama. Lakukan saja apa yang kita lakukan sebelumnya!"""
st_051030_0130#0,"""Berkat itu, kita berhasil menganalisa kemampuan dari Ame-no-Murakumo. Kita bahkan telah membuat replikanya."""
st_051030_0140#0,"""<%me>. Hubungan yang kamu miliki dengan [Persona]... memberikanmu persenjataan itu."""
st_051030_0150#0,"""Aku akan menitipkan kekuatan ini padamu. Ini adalah sesuatu yang sudah seharusnya kamu lakukan."""
st_051030_0160#0,"""Strateginya cukup sederhana. <%me>, kamu akan menebas inti dari [Profound Darkness]."""
st_051030_0170#0,"""Dan jika kita berhasil memisahkan [Persona] dan [Profound Darkness]..."""
st_051030_0180#0,"""Kalian berdua akan membangunkan mereka bersama-sama dengan tangan kalian."""
st_051030_0190#0,"""...Umh. Tentu saja. Ada banyak, banyak sekali hal yang ingin kukatakan kepada mereka."""
st_051030_0200#0,"""Benar bukan, <%me>！"""
